PLAYER_SK,Player_Id,Player_Name,Batting_hand,Bowling_skill,Country_Name
475,476,BA Stokes,Left-hand bat,Right-arm fast-medium,England
476,477,Basil Thampi,Right-hand bat, Right-arm fast-medium,India
477,478,C de Grandhomme,Right-hand bat,Right-arm fast-medium,New Zealand
478,479,CR Woakes, Right-hand bat,Right-arm fast-medium,England
479,480,DM Bravo, Left-hand bat,Right-arm medium-fast,West Indies
480,481,JJ Roy, Right-hand bat,NULL,England
481,482,K Rabada, Left-hand bat,Right-arm fast,South Africa
482,483,LH Ferguson,Right-hand bat,Right-arm fast,New Zealand
483,484,MJ Henry, Right-hand bat,Right-arm fast-medium,New Zealand
484,485,Mohammad Nabi, Right-hand bat,Right-arm offbreak,Afghanistan
485,486,Mohammed Siraj,Right-hand bat, Right-arm medium-fast,India
486,487,NB Singh,Right-hand bat,Right-arm medium,India
487,488,RA Tripathi, Right-hand bat,Right-arm medium,India
488,489,Rashid Khan,Right-hand bat,Legbreak googly,Afghanistan
489,490,RD Chahar,Right-hand bat,Legbreak googly,India
490,491,SP Jackson,Right-hand bat,NULL,India
491,492,SS Agarwal,Right-hand bat,Legbreak googly,India
492,493,T Natarajan,Left-hand bat,Left-arm medium,India
493,494,Tejas Baroka,Right-hand bat,Legbreak googly,India
494,495,TS Mills,Right-hand bat, Left-arm fast,England
495,496,Vishnu Vinod,Right-hand bat,NULL,India
496,497,Washington Sundar, Left-hand bat, Right-arm offbreak,India
